alpha,beta,exposure,final_value,pnl,max_drawdown,sharpe,num_trades
0.1,0.2,0.05,116448.5,16448.5,0.14372475161043782,0.026659548063397175,24
0.1,0.2,0.1,116448.5,16448.5,0.14372475161043782,0.026659548063397175,24
0.1,0.2,0.2,116448.5,16448.5,0.14372475161043782,0.026659548063397175,24
0.1,0.2,0.3,116448.5,16448.5,0.14372475161043782,0.026659548063397175,24
0.1,0.5,0.05,115728.5,15728.5,0.1499159358385968,0.025910622577731114,24
0.1,0.5,0.1,115728.5,15728.5,0.1499159358385968,0.025910622577731114,24
0.1,0.5,0.2,115728.5,15728.5,0.1499159358385968,0.025910622577731114,24
0.1,0.5,0.3,115728.5,15728.5,0.1499159358385968,0.025910622577731114,24
0.1,1.0,0.05,114434.5,14434.5,0.15579963845220934,0.024126187633311823,25
0.1,1.0,0.1,114434.5,14434.5,0.15579963845220934,0.024126187633311823,25
0.1,1.0,0.2,114434.5,14434.5,0.15579963845220934,0.024126187633311823,25
0.1,1.0,0.3,114434.5,14434.5,0.15579963845220934,0.024126187633311823,25
0.2,0.2,0.05,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.1,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.2,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.2,0.3,112593.5,12593.5,0.16947308761152552,0.01856191374614784,21
0.2,0.5,0.05,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.1,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.2,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,0.5,0.3,115309.5,15309.5,0.16840504128639722,0.021603979503846252,21
0.2,1.0,0.05,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.1,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.2,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.2,1.0,0.3,114459.0,14459.0,0.16440718846278118,0.02160452553583148,21
0.3,0.2,0.05,112007.0,12007.0,0.18328297628364973,0.016287877432354145,21
0.3,0.2,0.1,112007.0,12007.0,0.18328297628364973,0.016287877432354145,21
0.3,0.2,0.2,112007.0,12007.0,0.18328297628364973,0.016287877432354145,21
0.3,0.2,0.3,112007.0,12007.0,0.18328297628364973,0.016287877432354145,21
0.3,0.5,0.05,113127.0,13127.0,0.18513925678047624,0.017556843461633855,19
0.3,0.5,0.1,113127.0,13127.0,0.18513925678047624,0.017556843461633855,19
0.3,0.5,0.2,113127.0,13127.0,0.18513925678047624,0.017556843461633855,19
0.3,0.5,0.3,113127.0,13127.0,0.18513925678047624,0.017556843461633855,19
0.3,1.0,0.05,112630.5,12630.5,0.175396095869011,0.01740118194778897,18
0.3,1.0,0.1,112630.5,12630.5,0.175396095869011,0.01740118194778897,18
0.3,1.0,0.2,112630.5,12630.5,0.175396095869011,0.01740118194778897,18
0.3,1.0,0.3,112630.5,12630.5,0.175396095869011,0.01740118194778897,18
0.5,0.2,0.05,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.1,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.2,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.2,0.3,109587.5,9587.5,0.203947518124269,0.012531247531232657,19
0.5,0.5,0.05,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.1,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.2,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.3,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,1.0,0.05,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.1,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.2,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.3,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
1.0,0.2,0.05,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.1,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.2,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.3,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.5,0.05,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.1,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.2,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.3,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,1.0,0.05,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.1,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.2,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.3,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
