alpha,beta,exposure,base_gap,recent_events,final_value,pnl,max_drawdown,sharpe,num_trades
0.5,0.5,0.3,1.0,8,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.3,1.0,12,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.3,2.0,5,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.3,2.0,8,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,0.5,0.3,2.0,12,111689.0,11689.0,0.19660771726124127,0.01473101605261128,19
0.5,1.0,0.1,0.5,5,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.1,0.5,8,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.1,0.5,12,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.1,1.0,5,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.1,1.0,8,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.1,1.0,12,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.1,2.0,5,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.1,2.0,8,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.1,2.0,12,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.2,0.5,5,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.2,0.5,8,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.2,0.5,12,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.2,1.0,5,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.2,1.0,8,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.2,1.0,12,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.2,2.0,5,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.2,2.0,8,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.2,2.0,12,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.3,0.5,5,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.3,0.5,8,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.3,0.5,12,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.3,1.0,5,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.3,1.0,8,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.3,1.0,12,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.3,2.0,5,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.3,2.0,8,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
0.5,1.0,0.3,2.0,12,110557.5,10557.5,0.1896274639766836,0.01392033208791384,18
1.0,0.2,0.1,0.5,5,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.1,0.5,8,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.1,0.5,12,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.1,1.0,5,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.1,1.0,8,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.1,1.0,12,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.1,2.0,5,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.1,2.0,8,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.1,2.0,12,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.2,0.5,5,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.2,0.5,8,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.2,0.5,12,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.2,1.0,5,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.2,1.0,8,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.2,1.0,12,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.2,2.0,5,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.2,2.0,8,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.2,2.0,12,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.3,0.5,5,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.3,0.5,8,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.3,0.5,12,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.3,1.0,5,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.3,1.0,8,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.3,1.0,12,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.3,2.0,5,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.3,2.0,8,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.2,0.3,2.0,12,109628.0,9628.0,0.20039829587563712,0.011689316304592344,18
1.0,0.5,0.1,0.5,5,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.1,0.5,8,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.1,0.5,12,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.1,1.0,5,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.1,1.0,8,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.1,1.0,12,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.1,2.0,5,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.1,2.0,8,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.1,2.0,12,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.2,0.5,5,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.2,0.5,8,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.2,0.5,12,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.2,1.0,5,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.2,1.0,8,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.2,1.0,12,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.2,2.0,5,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.2,2.0,8,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.2,2.0,12,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.3,0.5,5,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.3,0.5,8,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.3,0.5,12,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.3,1.0,5,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.3,1.0,8,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.3,1.0,12,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.3,2.0,5,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.3,2.0,8,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,0.5,0.3,2.0,12,112439.0,12439.0,0.19650332766953804,0.01470959340144456,17
1.0,1.0,0.1,0.5,5,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.1,0.5,8,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.1,0.5,12,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.1,1.0,5,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.1,1.0,8,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.1,1.0,12,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.1,2.0,5,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.1,2.0,8,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.1,2.0,12,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.2,0.5,5,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.2,0.5,8,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.2,0.5,12,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.2,1.0,5,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.2,1.0,8,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.2,1.0,12,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.2,2.0,5,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.2,2.0,8,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.2,2.0,12,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.3,0.5,5,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.3,0.5,8,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.3,0.5,12,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.3,1.0,5,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.3,1.0,8,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.3,1.0,12,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.3,2.0,5,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.3,2.0,8,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
1.0,1.0,0.3,2.0,12,112068.5,12068.5,0.1999092558983666,0.014952948089004539,18
